cable_id;name;diameter;section;dilatation_coefficient;young_modulus;linear_mass;temperature_reference;section_conductor;stress_strain_a0;stress_strain_a1;stress_strain_a2;stress_strain_a3;stress_strain_a4;section_heart;stress_strain_b0;stress_strain_b1;stress_strain_b2;stress_strain_b3;stress_strain_b4;electric_resistance_20;linear_resistance_temperature_coef;has_magnetic_heart;diameter_heart;emissivity;solar_absorption;radial_thermal_conductivity;is_polynomial;is_bimetallic;rts_cable;rts_layer_1;nb_strand_layer_1;rts_layer_2;nb_strand_layer_2;rts_layer_3;nb_strand_layer_3;rts_layer_4;nb_strand_layer_4;rts_layer_5;nb_strand_layer_5;rts_layer_6;nb_strand_layer_6;rts_layer_7;nb_strand_layer_7;rts_layer_8;nb_strand_layer_8;safety_coefficient
5D54ED4322A84F608FECB19A5439B944;ASTER 570 RUGOSITE MODIFIEE;31.05;570.22;2.3e-05;54000;1.615;15;570.22;0;54000.0;0;0;0;0.0;0;0;0;0;0;0.0583;0.0036;False;0.0;0.8;0.9;1;False;False;185300;3038.0;24.0;3038.0;18.0;3038.0;12.0;3038.0;6.0;0.0;;0.0;;0.0;;3038.0;1.0;1.5
199EDA7149E46614E043C0C46D2E6614;ASTER 570;31.05;570.22;2.3e-05;54000;1.615;15;570.22;0;54000.0;0;0;0;0.0;0;0;0;0;0;0.0583;0.0036;False;0.0;0.8;0.9;1;False;False;185300;3038.0;24.0;3038.0;18.0;3038.0;12.0;3038.0;6.0;0.0;;0.0;;0.0;;3038.0;1.0;1.5
947DBFBF82994D018FD7A69B32ABC05C;OPPC ASTER 570 FU 48;31.65;570.22;2.3e-05;56000;1.63;15;566.7;0;56000.0;0;0;0;0.0;0;0;0;0;0;0.058;0.0036;False;0.0;0.8;0.9;1;False;False;185000;;;;;;12.0;;6.0;;;;;;;;;1.5
199EDA7149E36614E043C0C46D2E6614;ASTER 475;28.35;475.38;2.3e-05;54300;1.384;15;475.38;0;54300.0;0;0;0;0.0;0;0;0;0;0;0.0706;0.0036;False;0.0;0.8;0.9;1;False;False;154500;2533.0;24.0;2533.0;18.0;2533.0;12.0;2533.0;6.0;0.0;;0.0;;0.0;;2533.0;1.0;1.5
199EDA7149E26614E043C0C46D2E6614;ASTER 366;24.85;366.22;2.3e-05;57000;1.023;15;366.22;0;57000.0;0;0;0;0.0;0;0;0;0;0;0.0905;0.0036;False;0.0;0.8;0.9;1;False;False;115350;3118.0;18.0;3118.0;12.0;3118.0;6.0;0.0;;0.0;;0.0;;0.0;;3118.0;1.0;1.5
7076E9D1D6464B52BA8A533039FE38E6;OPPC ASTER 366 FU 48;24.85;375.7;2.3e-05;57000;1.067;15;367.8;0;57000.0;0;0;0;0.0;0;0;0;0;0;0.09;0.0036;False;0.0;0.8;0.9;1;False;False;115000;;;;;;;;;;;;;;;;;1.5
199EDA7149E16614E043C0C46D2E6614;ASTER 288;22.05;288.34;2.3e-05;57000;0.805;15;288.34;0;57000.0;0;0;0;0.0;0;0;0;0;0;0.115;0.0036;False;0.0;0.8;0.9;1;False;False;93700;2533.0;18.0;2533.0;12.0;2533.0;6.0;0.0;;0.0;;0.0;;0.0;;2533.0;1.0;1.5
9DDD8378945B41B7A0CD2819587279FF;OPPC ASTER 288 FU 48;22.05;296.1;2.3e-05;57000;0.833;15;287.8;0;57000.0;0;0;0;0.0;0;0;0;0;0;0.116;0.0036;False;0.0;0.8;0.9;1;False;False;93700;;;;;;;;;;;;;;;;;1.5
199EDA7149E06614E043C0C46D2E6614;ASTER 228;19.6;227.83;2.3e-05;57000;0.636;15;227.83;0;57000.0;0;0;0;0.0;0;0;0;0;0;0.146;0.0036;False;0.0;0.8;0.9;1;False;False;74050;2001.0;18.0;2001.0;12.0;2001.0;6.0;0.0;;0.0;;0.0;;0.0;;2001.0;1.0;1.5
199EDA714A176614E043C0C46D2E6614;OPPC ASTER 228 FU 48;20.2;236.98;2.3e-05;57000;0.67;15;227.5;0;57000.0;0;0;0;0.0;0;0;0;0;0;0.146;0.0036;False;0.0;0.8;0.9;1;False;False;74100;;;;;;;;;;;;;;;;;1.5
199EDA7149DF6614E043C0C46D2E6614;ASTER 181,6;17.5;181.62;2.3e-05;57000;0.517;15;181.62;0;57000.0;0;0;0;0.0;0;0;0;0;0;0.183;0.0036;False;0.0;0.8;0.9;1;False;False;59000;1595.0;18.0;1595.0;12.0;1595.0;6.0;0.0;;0.0;;0.0;;0.0;;1595.0;1.0;1.5
199EDA7149DD6614E043C0C46D2E6614;ASTER 148;15.75;148.01;2.3e-05;60000;0.417;15;148.01;0;60000.0;0;0;0;0.0;0;0;0;0;0;0.224;0.0036;False;0.0;0.8;0.9;1;False;False;48100;2533.0;12.0;2533.0;6.0;0.0;;0.0;;0.0;;0.0;;0.0;;2533.0;1.0;1.5
199EDA71498C6614E043C0C46D2E6614;ASTER 117;14.0;117.0;2.3e-05;60000;0.337;15;116.98;0;60000.0;0;0;0;0.0;0;0;0;0;0;0.283;0.0036;False;0.0;0.8;0.9;1;False;False;38020;2001.0;12.0;2001.0;6.0;0.0;;0.0;;0.0;;0.0;;0.0;;2001.0;1.0;1.5
199EDA7149EB6614E043C0C46D2E6614;AZALEE 707;32.4;706.7;2.3e-05;54000;2.017;15;706.7;0;54000.0;0;0;0;0.0;0;0;0;0;0;0.0475;0.0036;False;0.0;0.8;0.9;1;False;False;222600;3802.0;24.0;3919.0;18.0;3206.0;12.0;3206.0;6.0;0.0;;0.0;;0.0;;3206.0;1.0;1.5
199EDA7149EA6614E043C0C46D2E6614;AZALEE 666;31.5;665.92;2.3e-05;54000;1.9;15;665.92;0;54000.0;0;0;0;0.0;0;0;0;0;0;0.0504;0.0036;False;0.0;0.8;0.9;1;False;False;211600;3610.0;24.0;3724.0;18.0;3038.0;12.0;3038.0;6.0;0.0;;0.0;;0.0;;3038.0;1.0;1.5
199EDA7149E96614E043C0C46D2E6614;AZALEE 455;26.1;455.14;2.3e-05;54000;1.299;15;455.14;0;54000.0;0;0;0;0.0;0;0;0;0;0;0.0738;0.0036;False;0.0;0.8;0.9;1;False;False;147900;2533.0;24.0;2581.0;18.0;2147.0;12.0;2147.0;6.0;0.0;;0.0;;0.0;;2147.0;1.0;1.5
199EDA7149E86614E043C0C46D2E6614;AZALEE 346;22.4;345.55;2.3e-05;59000;0.974;15;345.55;0;59000.0;0;0;0;0.0;0;0;0;0;0;0.0968;0.0036;False;0.0;0.8;0.9;1;False;False;111000;3109.0;18.0;3065.0;12.0;2614.0;6.0;0.0;;0.0;;0.0;;0.0;;2614.0;1.0;1.5
199EDA7149E76614E043C0C46D2E6614;AZALEE 261;19.6;261.68;2.3e-05;59000;0.737;15;261.68;0;59000.0;0;0;0;0.0;0;0;0;0;0;0.128;0.0036;False;0.0;0.8;0.9;1;False;False;84900;2343.0;18.0;2421.0;12.0;2001.0;6.0;0.0;;0.0;;0.0;;0.0;;2001.0;1.0;1.5
199EDA7149E66614E043C0C46D2E6614;AZALEE 177;16.5;177.47;2.3e-05;60000;0.502;15;177.47;0;60000.0;0;0;0;0.0;0;0;0;0;0;0.188;0.0036;False;0.0;0.8;0.9;1;False;False;56500;3065.0;12.0;2780.0;6.0;0.0;;0.0;;0.0;;0.0;;0.0;;2780.0;1.0;1.5
199EDA7149F96614E043C0C46D2E6614;CANNA 398;25.9;397.8;1.8e-05;75500;1.531;15;322.6;0;75500.0;0;0;0;75.3;0;0;0;0;0;0.09;0.004;False;11.1;0.8;0.9;1;False;True;134400;1720.0;18.0;1720.0;12.0;13978.0;6.0;0.0;;0.0;;0.0;;0.0;;13978.0;1.0;1.5
199EDA7149F86614E043C0C46D2E6614;CANNA 366;24.85;366.2;1.8e-05;75500;1.396;15;296.9;0;75500.0;0;0;0;69.3;0;0;0;0;0;0.098;0.004;False;10.65;0.8;0.9;1;False;True;123720;1584.0;18.0;1584.0;12.0;12867.0;6.0;0.0;;0.0;;0.0;;0.0;;12867.0;1.0;1.5
199EDA7149F76614E043C0C46D2E6614;CANNA 356;24.5;356.0;1.8e-05;75500;1.369;15;288.7;0;75500.0;0;0;0;67.3;0;0;0;0;0;0.101;0.004;False;10.5;0.8;0.9;1;False;True;121710;1587.0;18.0;1587.0;12.0;12507.0;6.0;0.0;;0.0;;0.0;;0.0;;12507.0;1.0;1.5
199EDA7149F66614E043C0C46D2E6614;CANNA 294;22.25;293.8;1.8e-05;75500;1.121;15;238.2;0;75500.0;0;0;0;55.6;0;0;0;0;0;0.122;0.004;False;9.54;0.8;0.9;1;False;True;100470;1310.0;18.0;1310.0;12.0;10325.0;6.0;0.0;;0.0;;0.0;;0.0;;10325.0;1.0;1.5
199EDA7149F56614E043C0C46D2E6614;CANNA 288;22.05;288.3;1.8e-05;75500;1.096;15;233.8;0;75500.0;0;0;0;54.55;0;0;0;0;0;0.124;0.004;False;9.45;0.8;0.9;1;False;True;98500;1286.0;18.0;1286.0;12.0;10131.0;6.0;0.0;;0.0;;0.0;;0.0;;10131.0;1.0;1.5
199EDA7149F46614E043C0C46D2E6614;CANNA 238;20.02;237.7;1.8e-05;75500;0.908;15;192.7;0;75500.0;0;0;0;45.0;0;0;0;0;0;0.151;0.004;False;8.58;0.8;0.9;1;False;True;84030;1092.0;18.0;1092.0;12.0;8673.0;6.0;0.0;;0.0;;0.0;;0.0;;8673.0;1.0;1.5
199EDA7149F36614E043C0C46D2E6614;CANNA 228;19.6;227.8;1.8e-05;75500;0.868;15;184.7;0;75500.0;0;0;0;43.1;0;0;0;0;0;0.157;0.004;False;8.4;0.8;0.9;1;False;True;80500;1047.0;18.0;1047.0;12.0;8313.0;6.0;0.0;;0.0;;0.0;;0.0;;8313.0;1.0;1.5
199EDA7149F26614E043C0C46D2E6614;CANNA 210;18.83;210.3;1.8e-05;75500;0.804;15;170.5;0;75500.0;0;0;0;39.8;0;0;0;0;0;0.17;0.004;False;8.07;0.8;0.9;1;False;True;74340;966.0;18.0;966.0;12.0;7672.0;6.0;0.0;;0.0;;0.0;;0.0;;7672.0;1.0;1.5
199EDA7149F16614E043C0C46D2E6614;CANNA 188,7;17.85;188.7;1.8e-05;75500;0.742;15;153.2;0;75500.0;0;0;0;35.8;0;0;0;0;0;0.19;0.004;False;7.65;0.8;0.9;1;False;True;66800;868.0;18.0;868.0;12.0;6895.0;6.0;0.0;;0.0;;0.0;;0.0;;6895.0;1.0;1.5
199EDA7149F06614E043C0C46D2E6614;CANNA 181,6;17.5;181.6;1.8e-05;75500;0.692;15;147.26;0;75500.0;0;0;0;34.36;0;0;0;0;0;0.197;0.004;False;7.5;0.8;0.9;1;False;True;64900;859.0;18.0;859.0;12.0;6627.0;6.0;0.0;;0.0;;0.0;;0.0;;6627.0;1.0;1.5
199EDA7149EE6614E043C0C46D2E6614;CANNA 147,1;15.75;147.1;1.4e-05;122000;0.824;15;71.6;0;122000.0;0;0;0;75.5;0;0;0;0;0;0.408;0.004;False;11.25;0.8;0.9;1;False;True;101270;716.0;18.0;5567.0;12.0;5567.0;6.0;0.0;;0.0;;0.0;;0.0;;5567.0;1.0;1.5
199EDA7149ED6614E043C0C46D2E6614;CANNA 116,2;14.0;116.2;1.8e-05;75500;0.442;15;94.2;0;75500.0;0;0;0;22.0;0;0;0;0;0;0.31;0.004;False;6.0;0.8;0.9;1;False;True;43150;581.0;18.0;581.0;12.0;4398.0;6.0;0.0;;0.0;;0.0;;0.0;;4398.0;1.0;1.5
199EDA7149EC6614E043C0C46D2E6614;CANNA 107,9;13.5;107.9;1.46e-05;114000;0.552;15;59.6;0;114000.0;0;0;0;48.3;0;0;0;0;0;0.49;0.004;False;9.0;0.8;0.9;1;False;True;80840;716.0;15.0;3563.0;12.0;3563.0;6.0;0.0;;0.0;;0.0;;0.0;;3563.0;1.0;1.5
199EDA7149FE6614E043C0C46D2E6614;CROCUS 1195;44.8;1195.3;1.8e-05;63000;4.701;15;967.5;0;63000.0;0;0;0;227.8;0;0;0;0;0;0.03;0.004;False;19.6;0.8;0.9;1;False;True;482540;1587.0;36.0;1587.0;30.0;1047.0;30.0;1047.0;24.0;10160.0;18.0;10160.0;12.0;10160.0;6.0;10160.0;1.0;1.5
13813296455320DCE043A3681E7C20DC;CROCUS 1185;44.7;1184.5;1.83e-05;63000;4.6;15;956.7;0;63000.0;0;0;0;227.8;0;0;0;0;0;0.0304;0.004;False;19.6;0.8;0.9;1;False;True;480500;1560.0;36.0;1560.0;30.0;1047.0;30.0;1047.0;24.0;10160.0;18.0;10160.0;12.0;10160.0;6.0;10160.0;1.0;1.5
13813296456020DCE043A3681E7C20DC;CROCUS 865;38.01;865.4;1.83e-05;66500;3.228;15;717.3;0;66500.0;0;0;0;148.1;0;0;0;0;0;0.0404;0.004;True;15.75;0.8;0.9;1;False;True;319000;1739.0;28.0;1739.0;22.0;1739.0;16.0;12469.0;12.0;12469.0;6.0;0.0;;0.0;;12469.0;1.0;1.5
A528921A268E4E1A94BA9FED88403223;CROCUS 617;32.3;616.8;1.84e-05;78000;2.36;15;512.0;0;;0;0;0;104.8;0;0;0;0;0;0.0572;0.004;True;13.25;0.8;0.9;1;False;True;218000;2259.0;20.0;909.0;24.0;909.0;18.0;9101.0;12.0;9101.0;6.0;0.0;;0.0;;9100.0;1.0;1.5
199EDA714A096614E043C0C46D2E6614;CROCUS 612 (62+19);32.2;610.2;1.83e-05;62000;2.341;15;505.4;0;62000.0;0;0;0;104.8;0;0;0;0;0;0.0571;0.004;True;13.25;0.8;0.9;1;False;True;231140;2259.0;20.0;903.0;24.0;9030.0;18.0;9101.0;12.0;9101.0;6.0;0.0;;0.0;;9101.0;1.0;1.5
2417310C7684B01AE043A3681CAFB01A;CROCUS 612 (66+19);32.03;612.6;1.83e-05;66500;2.276;15;507.83;0;66500.0;0;0;0;104.79;0;0;0;0;0;0.0571;0.004;True;13.25;0.8;0.9;1;False;True;231500;1270.0;28.0;1270.0;22.0;12700.0;16.0;9101.0;12.0;9101.0;6.0;0.0;;0.0;;9101.0;1.0;1.5
199EDA714A086614E043C0C46D2E6614;CROCUS 595;31.64;594.9;1.82e-05;67900;2.308;15;487.8;0;67900.0;0;0;0;107.1;0;0;0;0;0;0.06;0.004;True;13.44;0.8;0.9;1;False;True;235700;1720.0;23.0;973.0;24.0;9730.0;18.0;4922.0;18.0;4922.0;12.0;4922.0;6.0;0.0;;4922.0;1.0;1.5
199EDA714A076614E043C0C46D2E6614;CROCUS 592;31.7;592.2;1.82e-05;63500;2.297;15;487.3;0;63500.0;0;0;0;104.9;0;0;0;0;0;0.06;0.004;False;13.3;0.8;0.9;1;False;True;238200;859.0;35.0;859.0;29.0;6230.0;28.0;623.0;22.0;4820.0;18.0;4820.0;12.0;4820.0;6.0;4820.0;1.0;1.5
199EDA714A066614E043C0C46D2E6614;CROCUS 412;26.4;411.7;1.76e-05;72000;1.595;15;325.72;0;72000.0;0;0;0;85.95;0;0;0;0;0;0.089;0.004;False;12.0;0.8;0.9;1;False;True;173300;1629.0;19.0;1629.0;13.0;7464.0;12.0;7464.0;6.0;0.0;;0.0;;0.0;;7464.0;1.0;1.5
17D6CC17C0764B52B72180299D3BEB5A;OPPC CROCUS 412 FU 48;26.8;412.6;1.76e-05;80900;1.62;15;295.5;0;80900.0;0;0;0;77.6;0;0;0;0;0;0.089;0.004;False;12.0;0.8;0.9;1;False;True;173000;;;;;;;;;;;;;;;;;1.5
DB139EBD4F9211DB960B0002A5749A35;CROCUS 398;25.9;397.8;1.8e-05;75500;1.51;15;322.6;0;75500.0;0;0;0;75.3;0;0;0;0;0;0.09;0.004;False;11.1;0.8;0.9;1;False;True;152500;1720.0;18.0;1720.0;12.0;17203.0;6.0;0.0;;0.0;;0.0;;0.0;;17203.0;1.0;1.5
F95F9E1F53E040C889C6F9F0CBE23043;CROCUS 366;24.85;366.23;1.77e-05;80500;1.374;15;296.94;0;;0;0;0;69.29;0;0;0;0;0;0.098;0.004;False;10.65;0.8;0.9;1;False;True;140300;1584.0;18.0;1583.0;12.0;15836.0;6.0;0.0;;0.0;;0.0;;0.0;;15836.0;1.0;1.5
199EDA714A056614E043C0C46D2E6614;CROCUS 301;22.7;300.6;1.67e-05;79300;1.267;15;221.7;0;79300.0;0;0;0;78.9;0;0;0;0;0;0.131;0.004;False;11.5;0.8;0.9;1;False;True;148900;1047.0;21.0;1047.0;15.0;6855.0;12.0;6855.0;6.0;0.0;;0.0;;0.0;;6855.0;1.0;1.5
199EDA714A046614E043C0C46D2E6614;CROCUS 297;22.45;297.2;1.69e-05;79000;1.237;15;221.7;0;79000.0;0;0;0;75.5;0;0;0;0;0;0.131;0.004;False;11.25;0.8;0.9;1;False;True;147200;1047.0;21.0;1047.0;15.0;6759.0;12.0;6759.0;6.0;0.0;;0.0;;0.0;;6759.0;1.0;1.5
368B8126370A4E8588DC9D649F2F8BDD;CROCUS 294;22.25;293.8;1.8e-05;75500;1.121;15;238.2;0;75500.0;0;0;0;55.6;0;0;0;0;0;0.122;0.004;False;9.54;0.8;0.9;1;False;True;116000;1310.0;18.0;1310.0;12.0;12707.0;6.0;0.0;;0.0;;0.0;;0.0;;12707.0;1.0;1.5
199EDA714A036614E043C0C46D2E6614;CROCUS 288;22.05;288.3;1.8e-05;75500;1.084;15;233.79;0;75500.0;0;0;0;54.55;0;0;0;0;0;0.124;0.004;False;9.45;0.8;0.9;1;False;True;113800;1739.0;18.0;1286.0;12.0;12469.0;6.0;0.0;;0.0;;0.0;;0.0;;12469.0;1.0;1.5
9BEB9A5AFADF4E56859A802A7C8700E0;CROCUS 238;20.02;237.7;1.8e-05;75500;0.895;15;192.63;0;75500.0;0;0;0;44.94;0;0;0;0;0;0.151;0.004;False;8.58;0.8;0.9;1;False;True;96100;1092.0;18.0;1092.0;12.0;10600.0;6.0;0.0;;0.0;;0.0;;0.0;;10600.0;1.0;1.5
199EDA714A026614E043C0C46D2E6614;CROCUS 228;19.6;227.82;1.8e-05;75500;0.856;15;184.7;0;75500.0;0;0;0;43.1;0;0;0;0;0;0.157;0.004;False;8.4;0.8;0.9;1;False;True;92100;1047.0;18.0;1047.0;12.0;10160.0;6.0;0.0;;0.0;;0.0;;0.0;;10160.0;1.0;1.5
61BB2D8F31684B0C87B8645B2F796767;OPPC CROCUS 228 FU 48;20.2;232.1;1.8e-05;84500;0.908;15;181.9;0;84500.0;0;0;0;50.2;0;0;0;0;0;0.157;0.004;False;8.4;0.8;0.9;1;False;True;91000;;;;;;;;;;;;;;;;;1.5
BE504675CD1D4A7B9003003A0FA69FB1;CROCUS 210;18.8;210.3;1.8e-05;75500;0.792;15;171.7;0;75500.0;0;0;0;40.01;0;0;0;0;0;0.171;0.004;False;8.1;0.8;0.9;1;False;True;85000;973.0;18.0;973.0;12.0;9447.0;6.0;0.0;;0.0;;0.0;;0.0;;9447.0;1.0;1.5
663F3D41B949472BBA9E267AA80488EE;CROCUS 188;17.85;187.5;1.8e-05;75500;0.692;15;153.13;0;75500.0;0;0;0;35.73;0;0;0;0;0;0.185;0.004;False;7.65;0.8;0.9;1;False;True;76450;868.0;18.0;868.0;12.0;8426.0;6.0;0.0;;0.0;;0.0;;0.0;;8426.0;1.0;1.5
88679C6F3B07427DB1F80C56D1C16716;CROCUS 181,6 (18+19);17.5;181.6;1.4e-05;122000;1.019;15;88.4;0;122000.0;0;0;0;93.2;0;0;0;0;0;0.329;0.004;False;12.5;0.8;0.9;1;False;True;146970;859.0;18.0;8099.0;12.0;8099.0;6.0;0.0;;0.0;;0.0;;0.0;;8099.0;1.0;1.5
199EDA714A006614E043C0C46D2E6614;CROCUS 181,6 (30+7);17.5;181.62;1.8e-05;75500;0.683;15;147.26;0;75500.0;0;0;0;34.36;0;0;0;0;0;0.197;0.004;False;7.5;0.8;0.9;1;False;True;74200;859.0;18.0;859.0;12.0;8099.0;6.0;0.0;;0.0;;0.0;;0.0;;8099.0;1.0;1.5
199EDA7149FF6614E043C0C46D2E6614;CROCUS 147,1 (18+19);15.75;147.1;1.4e-05;122000;0.824;15;71.6;0;122000.0;0;0;0;75.5;0;0;0;0;0;0.408;0.004;False;11.25;0.8;0.9;1;False;True;122420;716.0;18.0;6759.0;12.0;6759.0;6.0;0.0;;0.0;;0.0;;0.0;;6759.0;1.0;1.5
79CC0501661949D0BA7D80D14901B5F0;OPPC CROCUS 147 FU 36;16.17;147.0;1.8e-05;82200;0.568;15;112.5;0;82200.0;0;0;0;31.9;0;0;0;0;0;0.243;0.004;False;6.75;0.8;0.9;1;False;True;61800;;;;;;;;;;;;;;;;;1.5
199EDA7149966614E043C0C46D2E6614;CROCUS 147,1 (30+7);15.75;147.1;1.8e-05;75000;0.553;15;119.3;0;75000.0;0;0;0;27.8;0;0;0;0;0;0.243;0.004;False;6.75;0.8;0.9;1;False;True;61800;716.0;18.0;716.0;12.0;6759.0;6.0;0.0;;0.0;;0.0;;0.0;;6759.0;1.0;1.5
199EDA7149FC6614E043C0C46D2E6614;CROCUS 116,2;14.0;116.2;1.8e-05;75500;0.437;15;94.2;0;75500.0;0;0;0;22.0;0;0;0;0;0;0.31;0.004;False;6.0;0.8;0.9;1;False;True;49300;581.0;18.0;581.0;12.0;5341.0;6.0;0.0;;0.0;;0.0;;0.0;;5341.0;1.0;1.5
199EDA7149FB6614E043C0C46D2E6614;CROCUS 107,9;13.5;107.9;1.46e-05;114000;0.56;15;59.6;0;114000.0;0;0;0;48.3;0;0;0;0;0;0.49;0.004;False;9.0;0.8;0.9;1;False;True;67300;716.0;15.0;4326.0;12.0;4326.0;6.0;0.0;;0.0;;0.0;;0.0;;4326.0;1.0;1.5
199EDA7149946614E043C0C46D2E6614;CUIVRE 143;15.5;149.39;1.7e-05;105000;1.305;15;149.39;0;105000.0;0;0;0;0.0;0;0;0;0;0;0.126;0.0039;False;0.0;0.8;0.9;1;False;False;61600;3020.0;12.0;3020.0;6.0;0.0;;0.0;;0.0;;0.0;;0.0;;3020.0;1.0;1.5
199EDA71498B6614E043C0C46D2E6614;CUIVRE 116;14.0;116.2;1.7e-05;105000;1.062;15;116.2;0;105000.0;0;0;0;0.0;0;0;0;0;0;0.156;0.0039;False;0.0;0.8;0.9;1;False;False;46500;1260.0;18.0;1260.0;12.0;1260.0;6.0;0.0;;0.0;;0.0;;0.0;;1260.0;1.0;1.5
